title_checkouts,id_checkouts,author_checkouts,Title,work_id,best_book_id,author_goodreads,title_goodreads,tier
olivia goes to the library,59202,lauren forte,Olivia Goes to the library / adapted by Lauren Forte ; based on the episode written by Kate Boutilier and Eryk Casemiro ; illustrated by Jared Osterhold.,769578,783575,lucy cousins,maisy goes to the library maisy,wgt_jaccard_0.5
maisy goes to the city,70837,lucy cousins,Maisy goes to the city / Lucy Cousins.,769578,783575,lucy cousins,maisy goes to the library maisy,wgt_jaccard_0.4
rappy goes to the library,73232,dan gutman,Rappy goes to the library / by Dan Gutman ; illustrated by Tim Bowers.,769578,783575,lucy cousins,maisy goes to the library maisy,wgt_jaccard_0.5
maisy goes to the movies,77809,lucy cousins,Maisy goes to the movies / Lucy Cousins.,769578,783575,lucy cousins,maisy goes to the library maisy,wgt_jaccard_0.45
maisy goes to the library,156397,lucy cousins,Maisy goes to the library / Lucy Cousins.,769578,783575,lucy cousins,maisy goes to the library maisy,wgt_jaccard_0.1
mrs cooney is loony,210623,dan gutman,Mrs. Cooney is loony! / Dan Gutman ; pictures by Jim Paillot.,769612,783609,dan gutman,mrs cooney is loony my weird school 7,wgt_jaccard_0.45
yoko,87293,rosemary wells,Yoko / Rosemary Wells.,770678,120725,rosemary wells,yoko,exact
max and ruby s bedtime book,73826,rosemary wells,Max & Ruby's bedtime book / Rosemary Wells.,770685,1980209,rosemary wells,max s bedtime,wgt_jaccard_0.45
rise of the evening star,198222,brandon mull,Rise of the Evening Star / Brandon Mull ; illustrated by Brandon Dorman.,770911,784911,brandon mull,rise of the evening star,exact
secrets of the millionaire mind mastering the inner game of wealth abridged abridged,238770,t harv eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth (abridged) (Abridged),771090,785092,t harv eker,secrets of the millionaire mind mastering the inner game of wealth,wgt_jaccard_0.15
growing vegetable soup,111480,lois ehlert,Growing vegetable soup / written and illustrated by Lois Ehlert.,771289,1717864,lois ehlert,growing vegetable soup,exact
a single shard unabridged,18487,linda sue park,A Single Shard (Unabridged),771451,785453,linda sue park,a single shard,wgt_jaccard_0.15
a single shard,59578,linda park sue,A single shard / Linda Sue Park.,771451,785453,linda sue park,a single shard,exact
a single shard,174878,linda sue park,A Single Shard,771451,785453,linda sue park,a single shard,exact
if you see a kitten,837983,john butler,If you see a kitten / John Butler.,771551,785553,john butler,if you see a kitten,exact
star wars the force awakens incredible cross sections,114717,jason fry,"Star Wars, the force awakens : incredible cross-sections / illustrated by Kemp Remillard ; written by Jason Fry.",772726,786730,david west reynolds,star wars incredible cross sections,wgt_jaccard_0.35
star wars the last jedi incredible cross sections,174197,jason fry,"Star Wars, the last Jedi : incredible cross-sections / illustrated by Kemp Remillard ; written by Jason Fry.",772726,786730,david west reynolds,star wars incredible cross sections,wgt_jaccard_0.3
angelina s halloween,218987,katharine holabird,Angelina's Halloween / story by Katharine Holabird ; illustrations by Helen Craig.,773062,787067,katharine holabird,angelina s halloween angelina ballerina,wgt_jaccard_0.35
the fish who cried wolf,100676,julia donaldson,The fish who cried wolf / Julia Donaldson & Axel Scheffler.,774399,788408,keiko kasza,the dog who cried wolf,wgt_jaccard_0.4
the dog who cried wolf,119168,keiko kasza,The dog who cried wolf / Keiko Kasza.,774399,788408,keiko kasza,the dog who cried wolf,exact
my ex life,946989,stephen mccauley,My Ex-Life: A Novel,775862,49195,bill clinton,my life,wgt_jaccard_0.5
george washington,26289,caroline gilpin crosson,George Washington / Caroline Crosson Gilpin.,776341,3138968,cheryl harness,george washington,exact
i am george washington,169312,brad meltzer,I am George Washington / Brad Meltzer ; illustrated by Christopher Eliopoulos.,776341,3138968,cheryl harness,george washington,wgt_jaccard_0.5
if you decide to go to the moon,223283,faith mcnulty,If you decide to go to the moon / by Faith McNulty ; illustrated by Steven Kellogg.,777794,791810,faith mcnulty,if you decide to go to the moon,exact
julie of the wolves,159527,jean george craighead,Julie of the wolves. / illustrated by John Schoenherr.,778444,386286,jean craighead george,julie of the wolves,exact
blankets,177192,craig thompson,Blankets : a graphic novel / by Craig Thompson.,781193,25179,craig thompson,blankets,exact
the chronicles of narnia,135467,c lewis s,The chronicles of Narnia / C.S. Lewis ; illustrations by Pauline Baynes and including an essay on writing by C.S. Lewis.,781271,11127,c s lewis,the chronicles of narnia,exact
i lost my sock,242373,p roberts j,I lost my sock! / by P.J. Roberts ; illustrated by Elio.,783146,1416759,jules feiffer,i lost my bear,wgt_jaccard_0.5
my friend lucky,52038,david milgrim,My friend Lucky / David Milgrim.,783169,797199,david milgrim,my friend lucky,exact
a good man is hard to find and other stories,101356,flannery o connor,A Good Man Is Hard to Find and Other Stories,783228,48464,flannery o connor,a good man is hard to find and other stories,exact
where s spot,14641,eric hill,Where's Spot? / By Eric Hill.,783733,132609,eric hill,where s spot,exact
the berenstain bears get the gimmies,99796,stan berenstain,The Berenstain bears get the gimmies / Stan & Jan Berenstain.,783739,1129297,stan berenstain,the berenstain bears get the gimmies,exact
in my room,1002981,jo witek,In my room : a book of creativity and imagination / by Jo Witek ; illustrated by Christine Roussey.,787503,801540,uri shulevitz,the moon in my room,wgt_jaccard_0.35
the talking eggs,182772,san robert souci d,The talking eggs : a folktale from the American South / retold by Robert D. San Souci ; pictures by Jerry Pinkney.,789941,803982,robert d san souci,the talking eggs,exact
every friday,84681,dan yaccarino,Every Friday / Dan Yaccarino.,791314,805362,dan yaccarino,every friday,exact
26 letters and 99 cents,92342,tana hoban,26 letters and 99 cents / by Tana Hoban.,791471,805519,tana hoban,26 letters and 99 cents mulberry books,wgt_jaccard_0.3
good night good night,126989,carin berger,Good night! Good night! / Carin Berger.,792726,806782,dan yaccarino,good night mr night,wgt_jaccard_0.4
good night mr panda,1933886,steve antony,"Good night, Mr. Panda / Steve Antony.",792726,806782,dan yaccarino,good night mr night,wgt_jaccard_0.35
the mixed up chameleon,42663,eric carle,The mixed-up chameleon / by Eric Carle.,795131,394772,eric carle,the mixed up chameleon,exact
does a kangaroo have a mother too,139881,eric carle,"Does a kangaroo have a mother, too? / by Eric Carle.",795141,270203,eric carle,does a kangaroo have a mother too,exact
the secret birthday message,127359,eric carle,The secret birthday message / by Eric Carle.,795142,628205,eric carle,the secret birthday message,exact
first snow,201256,po pak mi,First snow / Bomi Park.,795552,734069,emily arnold mccully,first snow,exact
first snow,1696628,nancy viau,First snow / Nancy Viau ; pictures by Talitha Shipman.,795552,734069,emily arnold mccully,first snow,exact
star wars vol 2,11868,jason aaron,"Star wars. Vol. 2 / writers, Jason Aaron, Kieron Gillen ; artists, Leinil Francis Yu, Jorge Molina, Mike Mayhew.",796079,810138,archie goodwin,star wars,wgt_jaccard_0.5
star wars chewbacca,62043,gerry duggan,"Star Wars. Chewbacca / [writer, Gerry Duggan ; artist, Phil Noto ; letterer, VC's Joe Caramagna.",796079,810138,archie goodwin,star wars,wgt_jaccard_0.5
baba yaga s assistant,153995,marika mccoola,Baba Yaga's assistant / Marika McCoola ; illustrated by Emily Carroll.,797295,1509147,eric a kimmel,baba yaga,wgt_jaccard_0.45
sleeping beauty,59355,man mary kong,Sleeping Beauty / adapted by Mary Man-Kong ; illustrated by the Disney Storybook Art Team.,798741,812805,jane yolen,sleeping beauty,exact
sleeping beauty,151871,cynthia rylant,Sleeping Beauty / retold by Cynthia Rylant ; pictures by Erin McGuire.,798741,812805,jane yolen,sleeping beauty,exact
sleeping beauty,194521,alison sage,Sleeping Beauty / [text by Alison Sage] ; [illustrations by] Sarah Gibb.,798741,812805,jane yolen,sleeping beauty,exact
the name jar,141378,yangsook choi,The name jar / Yangsook Choi.,800281,814357,yangsook choi,the name jar,exact
rub a dub,107579,bobby maslen lynn,Rub-a-dub / by Bobby Lynn Maslen ; pictures by John R. Maslen.,800979,815056,linda ashman,rub a dub sub,wgt_jaccard_0.3
alphabet adventure,167605,audrey wood,Alphabet adventure / by Audrey Wood ; illustrated by Bruce Wood.,801188,815265,audrey wood,alphabet adventure,exact
waiting for snow,102769,marsha arnold diane,Waiting for snow / Marsha Diane Arnold ; illustrated by Renata Liwska.,801384,815461,harriet ziefert,waiting for baby,wgt_jaccard_0.5
mere christianity,172895,c s lewis,Mere Christianity,801500,11138,c s lewis,mere christianity,exact
mere christianity,214512,c lewis s,"Mere Christianity : a revised and amplified edition, with a new introduction, of the three books, Broadcast talks, Christian behaviour and Beyond personality / C.S. Lewis.",801500,11138,c s lewis,mere christianity,exact
mere christianity unabridged,228983,c s lewis,Mere Christianity (Unabridged),801500,11138,c s lewis,mere christianity,wgt_jaccard_0.2
mere christianity,505241,,Mere Christianity,801500,11138,c s lewis,mere christianity,exact
the story about ping,133576,marjorie flack,The story about Ping / by Marjorie Flack and Kurt Wiese.,802423,189182,marjorie flack,the story about ping,exact
the berenstain bears visit the dentist,81394,stan berenstain,The Berenstain bears visit the dentist / Stan & Jan Berenstain.,803202,817315,stan berenstain,the berenstain bears visit the dentist,exact
the berenstain bears visit the firehouse,211423,mike berenstain,The Berenstain Bears visit the firehouse / Mike Berenstain.,803202,817315,stan berenstain,the berenstain bears visit the dentist,wgt_jaccard_0.45
the berenstain bears visit grizzlyland,970908,mike berenstain,The Berenstain Bears visit Grizzlyland / Mike Berenstain.,803202,817315,stan berenstain,the berenstain bears visit the dentist,wgt_jaccard_0.5
grave peril,222343,jim butcher,Grave peril / Jim Butcher.,803205,91476,jim butcher,grave peril,exact
the deep,42716,tom taylor,The deep / created by Tom Taylor & James Brouwer ; written by Tom Taylor ; illustrated by James Brouwer ; lettered by Wolfgang Bylsma ; cover by James Brouwer.,804384,343886,tim winton,the deep,exact
curious george makes a valentine,198990,bethany freitas v,Curious George makes a valentine / adaptation by Bethany V. Freitas ; based on the TV series teleplay written by John Loy.,804902,819043,margret rey,curious george makes pancakes curious george,wgt_jaccard_0.5
the mists of avalon avalon series book 1,102040,marion zimmer bradley,"The Mists of Avalon: Avalon Series, Book 1",806813,402045,marion zimmer bradley,the mists of avalon,wgt_jaccard_0.35
the mists of avalon,106082,marion bradley zimmer,The mists of Avalon / Marion Zimmer Bradley.,806813,402045,marion zimmer bradley,the mists of avalon,exact
poppleton and friends,178094,cynthia rylant,Poppleton and friends / Cynthia Rylant ; illustrated by Mark Teague.,806869,821032,cynthia rylant,poppleton and friends poppleton,wgt_jaccard_0.1
my name is yoon,120266,helen recorvits,My name is Yoon / Helen Recorvits ; pictures by Gabi Swiatkowska.,807125,821292,helen recorvits,my name is yoon,exact
short,12057,holly sloan goldberg,Short / Holly Goldberg Sloan.,807393,821568,kevin crossley holland,short,exact
devil s bride cynster family series book 1,231124,stephanie laurens,"Devil's Bride: Cynster Family Series, Book 1",809379,823581,stephanie laurens,devil s bride and a rake s vow cynster series book 1 and 2,wgt_jaccard_0.5
animal dreams,149139,barbara kingsolver,Animal Dreams,809743,77262,barbara kingsolver,animal dreams,exact
eiger dreams ventures among men and mountains unabridged unabridged,197630,jon krakauer,Eiger Dreams: Ventures Among Men and Mountains (unabridged) (Unabridged),809841,1897,jon krakauer,eiger dreams ventures among men and mountains,wgt_jaccard_0.1
i love bugs,129278,philemon sturges,I love bugs! / by Philemon Sturges ; illustrated by Shari Halpern.,809994,824218,philemon sturges,i love bugs,exact
the recess queen,35116,o alexis neill,The Recess Queen / by Alexis O'Neill ; illustrated by Laura Huliska-Beith.,810015,824239,alexis o neill,the recess queen,exact
animal crackers,200460,scott sava christian,Animal crackers / written by Scott Christian Sava ; illustrated by Alison Acton.,810075,824299,hannah tinti,animal crackers,exact
the god of small things,29928,arundhati roy,The god of small things / Arundhati Roy.,810135,9777,arundhati roy,the god of small things,exact
the god of small things abridged,41325,arundhati roy,The God of Small Things (Abridged),810135,9777,arundhati roy,the god of small things,wgt_jaccard_0.3
the sum of small things,147608,currid elizabeth halkett,The sum of small things : a theory of the aspirational class / Elizabeth Currid-Halkett.,810135,9777,arundhati roy,the god of small things,wgt_jaccard_0.5
the ruins of gorlan,3579,john flanagan,The ruins of Gorlan / John Flanagan.,810498,60400,john flanagan,the ruins of gorlan,exact
the poisonwood bible,143016,barbara kingsolver,The poisonwood Bible : a novel / Barbara Kingsolver.,810663,7244,barbara kingsolver,the poisonwood bible,exact
chuck s truck,110454,peggy anderson perry,Chuck's truck / by Peggy Perry Anderson.,810778,825015,peggy perry anderson,chuck s truck,exact
the sandman,489480,lars kepler,The sandman : a Joona Linna novel / Lars Kepler ; translated from the Swedish by Neil Smith.,810826,25102,neil gaiman,the sandman,exact
night soldiers night soldiers series book 1,118288,alan furst,"Night Soldiers: Night Soldiers Series, Book 1",810894,627614,alan furst,night soldiers,wgt_jaccard_0.5
the world according to humphrey,49699,betty birney g,The world according to Humphrey / Betty G. Birney.,811426,825680,betty g birney,trouble according to humphrey,wgt_jaccard_0.45
summer according to humphrey,51530,betty birney g,Summer according to Humphrey / Betty G. Birney.,811426,825680,betty g birney,trouble according to humphrey,wgt_jaccard_0.4
school days according to humphrey,55259,betty birney g,School days according to Humphrey / Betty G. Birney.,811426,825680,betty g birney,trouble according to humphrey,wgt_jaccard_0.5
secrets according to humphrey,75565,betty birney g,Secrets according to Humphrey / Betty G. Birney.,811426,825680,betty g birney,trouble according to humphrey,wgt_jaccard_0.4
cars rushing honking zooming,76643,patricia hubbell,Cars : rushing! honking! zooming! / by Patricia Hubbell ; illustrated by Megan Halsey and Sean Addy.,811761,826016,patricia hubbell,cars rushing honking zooming things that go,wgt_jaccard_0.35
sam and the firefly,93307,p eastman d,Sam and the firefly / written and illustrated by P. D. Eastman.,812020,826281,p d eastman,sam and the firefly,exact
what grandmas do best what grandpas do best,85844,laura numeroff joffe,What grandmas do best ; What grandpas do best / by Laura Numeroff ; illustrated by Lynn Munsinger.,812314,826586,laura joffe numeroff,what grandmas do best what grandpas do best,exact
if you take a mouse to school,37778,laura numeroff joffe,If you take a mouse to school / by Laura Numeroff ; illustrated by Felicia Bond.,812315,826583,laura joffe numeroff,if you take a mouse to the movies,wgt_jaccard_0.35
basic economics,46890,thomas sowell,Basic Economics: A Common Sense Guide to the Economy,812361,3023,thomas sowell,basic economics,exact
the virgin suicides,40504,jeffrey eugenides,The Virgin Suicides: A Novel,812415,10956,jeffrey eugenides,the virgin suicides,exact
the testament,131327,john grisham,The Testament: A Novel,812859,11175,elie wiesel,the testament,exact
the escape artist,207868,august burns red,The Escape Artist,813085,827361,diane chamberlain,the escape artist,exact
the escape artist,539272,brad meltzer,The escape artist / Brad Meltzer.,813085,827361,diane chamberlain,the escape artist,exact
the escape artist unabridged,682789,brad meltzer,The Escape Artist (Unabridged),813085,827361,diane chamberlain,the escape artist,wgt_jaccard_0.2
through the woods,191037,emily carroll,Through the woods / stories by Emily Carroll.,813779,76917,colin dexter,the way through the woods,wgt_jaccard_0.3
coyote,27846,gerald mcdermott,Coyote : a trickster tale from the American Southwest / told and illustrated by Gerald McDermott.,813988,33459,christopher moore,coyote blue,wgt_jaccard_0.45
robert the rose horse,240378,joan heilbroner,"Robert, the rose horse. / Illustrated by P. D. Eastman.",814088,828391,joan heilbroner,robert the rose horse beginner books r,wgt_jaccard_0.5
cadillac desert the american west and its disappearing water unabridged revised and updated unabridged revised and updated,87829,marc reisner,"Cadillac Desert: The American West and Its Disappearing Water (unabridged, revised and updated) (Unabridged, Revised and Updated)",814198,56140,marc reisner,cadillac desert the american west and its disappearing water,wgt_jaccard_0.3
cadillac desert the american west and its disappearing water,173209,marc reisner,Cadillac Desert: The American West and Its Disappearing Water,814198,56140,marc reisner,cadillac desert the american west and its disappearing water,exact
giovanni s room,40321,james baldwin,Giovanni's Room,814207,38462,james baldwin,giovanni s room,exact
giovanni s room unabridged,229425,james baldwin,Giovanni's Room (Unabridged),814207,38462,james baldwin,giovanni s room,wgt_jaccard_0.2
catch 22 unabridged,12281,joseph heller,Catch-22 (Unabridged),814330,168668,joseph heller,catch 22,wgt_jaccard_0.25
catch 22,28808,joseph heller,Catch-22 / Joseph Heller ; introduction by Christopher Buckley.,814330,168668,joseph heller,catch 22,exact
tales of the city,62529,armistead maupin,Tales of the city / Armistead Maupin.,815206,16255,armistead maupin,tales of the city,exact
tales of the city tales of the city series book 1 unabridged unabridged,232569,armistead maupin,"Tales of the City: Tales of the City Series, Book 1 (unabridged) (Unabridged)",815206,16255,armistead maupin,tales of the city,wgt_jaccard_0.5
little tree,201820,loren long,Little tree / Loren Long.,815422,829746,mercer mayer,the little christmas tree,wgt_jaccard_0.45
counting crocodiles,39762,judy sierra,Counting crocodiles / by Judy Sierra ; illustrated by Will Hillenbrand.,815738,830062,judy sierra,counting crocodiles,exact
snow day,232021,jessie haas,Snow day / Jessie Haas ; illustrated by Alison Friend.,815825,830149,patricia lakin,snow day,exact
the simple truth,4251,david baldacci,The Simple Truth,816448,830791,david baldacci,the simple truth,exact
i stink,153576,kate mcmullan,I stink! / Kate & Jim McMullan.,816631,1297810,kate mcmullan,i stink,exact
hoot owl,31572,shelby alinsky,"Hoot, owl! / Shelby Alinsky.",817164,13083,carl hiaasen,hoot,wgt_jaccard_0.5
hoot,207401,carl hiaasen,Hoot,817164,13083,carl hiaasen,hoot,exact
atlas shrugged,116571,ayn rand,Atlas Shrugged,817219,662,ayn rand,atlas shrugged,exact
atlas shrugged unabridged,167124,ayn rand,Atlas Shrugged (Unabridged),817219,662,ayn rand,atlas shrugged,wgt_jaccard_0.2
atlas shrugged unabridged,1470753,aynee rand,Atlas Shrugged (Unabridged),817219,662,ayn rand,atlas shrugged,wgt_jaccard_0.2
the left hand of darkness,48320,ursula k le guin,The Left Hand of Darkness,817527,18423,ursula k le guin,the left hand of darkness,exact
the left hand of darkness,66939,le ursula guin k,The left hand of darkness / Ursula K. Le Guin.,817527,18423,ursula k le guin,the left hand of darkness,exact
i took the moon for a walk,241490,carolyn curtis,I took the moon for a walk / written by Carolyn Curtis ; illustrated by Alison Jay.,817670,832020,carolyn curtis,i took the moon for a walk,exact
drawing the only drawing book you ll ever need to be the artist you ve always wanted to be,184743,kathryn temple,Drawing : the only drawing book you'll ever need to be the artist you've always wanted to be / Kathryn Temple.,817943,832302,kathryn temple,art for kids drawing the only drawing book you ll ever need to be the artist you ve always wanted to be art for kids,wgt_jaccard_0.2
terrific trains,102182,tony mitton,Terrific trains / Tony Mitton and Ant Parker.,818328,832695,tony mitton,terrific trains amazing machines,wgt_jaccard_0.5
snowball moon,29327,fran slayton cannon,Snowball moon / by Fran Cannon Slayton ; illustrated by Tracy Bishop.,818832,833203,nina crews,snowball,wgt_jaccard_0.45
maisy learns to swim,180706,lucy cousins,Maisy learns to swim / Lucy Cousins.,819180,833551,jonathan london,froggy learns to swim,wgt_jaccard_0.45
llama llama learns to swim,1374415,anna dewdney,Llama Llama learns to swim / based on the bestselling children's book series by Anna Dewdney.,819180,833551,jonathan london,froggy learns to swim,wgt_jaccard_0.45
meet me at the museum,1718119,anne youngson,Meet Me at the Museum: A Novel,819549,833924,suzanne enoch,meet me at midnight,wgt_jaccard_0.5
death in the clouds,149136,agatha christie,Death in the clouds / Agatha Christie.,820002,16326,agatha christie,death in the clouds,exact
head in the clouds,589879,abby hanlon,Head in the clouds / Abby Hanlon.,820002,16326,agatha christie,death in the clouds,wgt_jaccard_0.5
return of the library dragon,133772,carmen deedy agra,Return of the library dragon / Carmen Agra Deedy ; illustrated by Michael P. White.,820303,834688,carmen agra deedy,the library dragon,wgt_jaccard_0.45
butterfly butterfly,40612,hor petr ek,"Butterfly, butterfly / Petr HorÃ¡Äek.",820627,835013,patricia polacco,the butterfly,wgt_jaccard_0.25
the little butterfly,187456,sherry shahan,The little butterfly / by Sherry Shahan.,820627,835013,patricia polacco,the butterfly,wgt_jaccard_0.35
bill and pete,103621,tomie depaola,Bill and Pete / story and pictures by Tomie de Paola.,820649,835035,tomie depaola,bill and pete,exact
mirette on the high wire,141464,emily mccully arnold,Mirette on the high wire / Emily Arnold McCully.,822084,734072,emily arnold mccully,mirette on the high wire,exact
the seven spiritual laws of success,79740,deepak chopra,The seven spiritual laws of success : a practical guide to the fulfillment of your dreams / Deepak Chopra.,822128,773038,deepak chopra,the seven spiritual laws of success,exact
the miraculous journey of edward tulane,177874,kate dicamillo,The miraculous journey of Edward Tulane / Kate DiCamillo ; illustrated by Bagram Ibatoulline.,822151,37186,kate dicamillo,the miraculous journey of edward tulane,exact
i robot,159278,isaac asimov,"I, robot / Isaac Asimov.",822782,837185,isaac asimov,i robot,exact
silly sally,204599,audrey wood,Silly Sally / by Audrey Wood.,822825,837232,isaac asimov,sally,wgt_jaccard_0.5
cannery row,8933,john steinbeck,Cannery Row / John Steinbeck.,824028,4799,john steinbeck,cannery row,exact
cannery row,164630,daniel levin nate wooley matt moran joe morris daniel levin quartet,Cannery Row,824028,4799,john steinbeck,cannery row,exact
cannery row cannery row series book 1 unabridged unabridged,185876,john steinbeck,"Cannery Row: Cannery Row Series, Book 1 (unabridged) (Unabridged)",824028,4799,john steinbeck,cannery row,wgt_jaccard_0.5
the indian in the cupboard,7180,lynne banks reid,The Indian in the cupboard / Lynne Reid Banks.,824446,125404,lynne reid banks,the indian in the cupboard,exact
danny the champion of the world,138380,roald dahl,Danny the champion of the world / by Roald Dahl ; illustrated by Quentin Blake.,824600,6690,roald dahl,danny the champion of the world,exact
danny the champion of the world unabridged,138820,roald dahl,Danny the Champion of the World (Unabridged),824600,6690,roald dahl,danny the champion of the world,wgt_jaccard_0.15
the secret room,37295,dori butler hillestad,The secret room / by Dori Hillestad Butler ; illustrated by Aurore Damant.,825355,285336,john bellairs,the secret of the underground room,wgt_jaccard_0.45
a long way gone memoirs of a boy soldier unabridged unabridged,204149,ishmael beah,A Long Way Gone: Memoirs of a Boy Soldier (unabridged) (Unabridged),825414,43015,ishmael beah,a long way gone memoirs of a boy soldier,wgt_jaccard_0.1
when things fall apart unabridged,125738,pema chodron,When Things Fall Apart (Unabridged),825843,37781,chinua achebe,things fall apart,wgt_jaccard_0.35
things fall apart,130292,chinua achebe,Things Fall Apart: A Novel,825843,37781,chinua achebe,things fall apart,exact
60 hikes within 60 miles seattle including bellevue everett and tacoma,66017,andrew weber,"60 hikes within 60 miles. Seattle : including Bellevue, Everett, and Tacoma / Andrew Weber and Bryce Stevens.",826013,6765170,andrew weber,60 hikes within 60 miles seattle including bellevue everett and tacoma 60 hikes menasha ridge,wgt_jaccard_0.2
the no 1 ladies detective agency,12308,mccall alexander smith,The No. 1 Ladies' Detective Agency / Alexander McCall Smith.,826298,7061,alexander mccall smith,the no 1 ladies detective agency,exact
the no 1 ladies detective agency the no 1 ladies detective agency series book 1 unabridged unabridged,47239,alexander mccall smith,"The No. 1 Ladies' Detective Agency: The No. 1 Ladies' Detective Agency Series, Book 1 (unabridged) (Unabridged)",826298,7061,alexander mccall smith,the no 1 ladies detective agency,wgt_jaccard_0.3
the no 1 ladies detective agency the no 1 ladies detective agency series book 1,241073,alexander mccall smith,"The No. 1 Ladies' Detective Agency: The No. 1 Ladies' Detective Agency Series, Book 1",826298,7061,alexander mccall smith,the no 1 ladies detective agency,wgt_jaccard_0.2
empire falls,41413,richard russo,Empire Falls,826474,187020,richard russo,empire falls,exact
difficult women,24771,david plante,Difficult Women,827281,841735,david plante,difficult women,exact
difficult women,34677,roxane gay,Difficult Women,827281,841735,david plante,difficult women,exact
haunted,72704,james patterson,Haunted / James Patterson and James O. Born.,827362,11919,kelley armstrong,haunted,exact
the dharma bums unabridged,79539,jack kerouac,The Dharma Bums (Unabridged),827497,412732,jack kerouac,the dharma bums,wgt_jaccard_0.15
cinnamon,80847,neil gaiman,Cinnamon / Neil Gaiman ; pictures by Divya Srinivasan.,828322,84530,walter mosley,cinnamon kiss,wgt_jaccard_0.45
hooray for fish,231916,lucy cousins,Hooray for fish! / Lucy Cousins.,828725,843193,lucy cousins,hooray for fish,exact
running with scissors,146634,augusten burroughs,Running with Scissors: A Memoir (unabridged) (Unabridged),828773,242006,augusten burroughs,running with scissors,exact
the absolutely true diary of a part time indian,28149,sherman alexie,The Absolutely True Diary of a Part-Time Indian,829330,693208,sherman alexie,the absolutely true diary of a part time indian,exact
the absolutely true diary of a part time indian unabridged,242665,sherman alexie,The Absolutely True Diary of a Part-Time Indian (Unabridged),829330,693208,sherman alexie,the absolutely true diary of a part time indian,wgt_jaccard_0.1
the lone ranger and tonto fistfight in heaven,60790,sherman alexie,The Lone Ranger and Tonto fistfight in heaven / Sherman Alexie.,829351,52873,sherman alexie,the lone ranger and tonto fistfight in heaven,exact
lone ranger and tonto fistfight in heaven,195139,sherman alexie,Lone Ranger and Tonto Fistfight in Heaven,829351,52873,sherman alexie,the lone ranger and tonto fistfight in heaven,wgt_jaccard_0.1
do androids dream of electric sheep,24466,philip k dick,Do Androids Dream of Electric Sheep?,830939,7082,philip k dick,do androids dream of electric sheep,exact
do androids dream of electric sheep,99184,philip dick k,Do androids dream of electric sheep? / Philip K. Dick.,830939,7082,philip k dick,do androids dream of electric sheep,exact
worlds apart,719572,james riley,Worlds apart / James Riley.,831261,845735,kate egan,worlds apart,exact
five love languages gift edition how to express heartfelt commitment to your mate,99978,gary d chapman,Five Love Languages Gift Edition: How to Express Heartfelt Commitment to Your Mate,832090,23878688,gary chapman,the five love languages how to express heartfelt commitment to your mate,wgt_jaccard_0.2
a tree grows in brooklyn,57220,betty smith,A tree grows in Brooklyn / Betty Smith ; with a foreword by Anna Quindlen.,833257,14891,betty smith,a tree grows in brooklyn,exact
a tree grows in brooklyn unabridged,112765,betty smith,A Tree Grows in Brooklyn (Unabridged),833257,14891,betty smith,a tree grows in brooklyn,wgt_jaccard_0.15
stormbreaker,5731,anthony horowitz,Stormbreaker / Anthony Horowitz.,833565,136782,anthony horowitz,stormbreaker,exact
carrie,33820,stephen king,Carrie / Stephen King.,833955,848441,stephen king,carrie,exact
carrie,260957,europe,Carrie,833955,848441,stephen king,carrie,exact
arrows of the queen valdemar heralds of valdemar series book 1,138802,mercedes lackey,"Arrows of the Queen: Valdemar: Heralds of Valdemar Series, Book 1",834071,13986,mercedes lackey,arrows of the queen heralds of valdemar 1,wgt_jaccard_0.2
maisy takes a bath,235562,lucy cousins,Maisy takes a bath / Lucy Cousins.,834222,848709,lucy cousins,maisy takes a bath maisy,wgt_jaccard_0.1
maisy goes shopping,146102,lucy cousins,Maisy goes shopping / Lucy Cousins.,834226,848713,lucy cousins,maisy goes shopping maisy,wgt_jaccard_0.1
the little red hen,9076,,The Little red hen / Byron Barton.,835962,736345,paul galdone,the little red hen,exact
the little red hen,94672,paul galdone,The little red hen : a folk tale classic / Paul Galdone.,835962,736345,paul galdone,the little red hen,exact
the red hen,141527,bobby maslen lynn,The red hen / by Bobby Lynn Maslen ; pictures by John R. Maslen.,835962,736345,paul galdone,the little red hen,wgt_jaccard_0.25
the penultimate peril,86430,lemony snicket,The penultimate peril / by Lemony Snicket ; illustrations by Brett Helquist.,838097,65110,lemony snicket,the penultimate peril,exact
the end,141571,lemony snicket,The end / by Lemony Snicket ; illustrations by Brett Helquist.,838691,65112,lemony snicket,the end,exact
violet s music,39880,angela johnson,Violet's music / by Angela Johnson ; illustrated by Laura Huliska-Beith.,838831,853328,angela johnson,violet s music,exact
mrs frisby and the rats of nimh,22451,o robert brien c,Mrs. Frisby and the rats of Nimh / Robert C. O'Brien. Illustrated by Zena Bernstein.,839692,9822,robert c o brien,mrs frisby and the rats of nimh,exact
mrs frisby and the rats of nimh nimh series book 1 unabridged unabridged,193486,robert o brien,"Mrs. Frisby and the Rats of NIMH: NIMH Series, Book 1 (unabridged) (Unabridged)",839692,9822,robert c o brien,mrs frisby and the rats of nimh,wgt_jaccard_0.3
the power of now,167042,eckhart tolle,The Power of Now: A Guide to Spiritual Enlightenment (unabridged) (Unabridged),840520,6708,eckhart tolle,the power of now,exact
